tracker_id,frames,x1,y1,x2,y2,speed
1,1,2944.9033203125,1273.293212890625,3225.994140625,1497.255859375,-1.0
2,1,1432.488037109375,1087.1912841796875,1623.9114990234375,1230.2669677734375,-1.0
3,1,1471.908935546875,1004.4083862304688,1627.9141845703125,1123.3671875,-1.0
1,2,2926.51416015625,1262.474609375,3203.037109375,1482.35693359375,-1.0
2,2,1432.34326171875,1094.005859375,1625.322509765625,1239.048828125,-1.0
3,2,1471.9840087890625,1011.0639038085938,1628.19873046875,1135.216796875,-1.0
1,3,2908.116943359375,1251.568359375,3180.04541015625,1467.4698486328125,-1.0
2,3,1429.9111328125,1100.8135986328125,1626.37060546875,1248.107666015625,-1.0
3,3,1468.613037109375,1016.0370483398438,1627.97998046875,1140.807861328125,-1.0
1,4,2889.7021484375,1240.7080078125,3158.01953125,1454.4130859375,-1.0
2,4,1427.571533203125,1109.3602294921875,1625.998779296875,1257.860107421875,-1.0
3,4,1468.55810546875,1023.287841796875,1628.6121826171875,1151.837890625,-1.0
1,5,2872.893310546875,1230.12548828125,3136.594482421875,1439.586669921875,-1.0
2,5,1425.5936279296875,1115.3441162109375,1627.15966796875,1267.0477294921875,-1.0
3,5,1465.7889404296875,1027.4937744140625,1630.24072265625,1157.1968994140625,-1.0
1,6,2855.2421875,1219.876220703125,3116.19189453125,1426.39404296875,-1.0
2,6,1424.0504150390625,1122.9034423828125,1625.4005126953125,1275.48486328125,-1.0
3,6,1466.3902587890625,1035.0750732421875,1630.1121826171875,1165.833251953125,-1.0
1,7,2840.3291015625,1210.219970703125,3095.140869140625,1413.78369140625,-1.0
2,7,1421.176513671875,1130.994140625,1625.015625,1285.5692138671875,-1.0
3,7,1464.818115234375,1041.2073974609375,1630.5164794921875,1178.10888671875,-1.0
1,8,2823.52099609375,1200.1263427734375,3074.34619140625,1401.180908203125,-1.0
2,8,1418.63037109375,1138.53564453125,1626.0823974609375,1295.533203125,-1.0
3,8,1463.0341796875,1047.013427734375,1630.477783203125,1182.278076171875,-1.0
1,9,2808.32421875,1190.7265625,3056.02978515625,1388.7822265625,-1.0
2,9,1416.273193359375,1146.394287109375,1624.519775390625,1306.96044921875,-1.0
3,9,1462.7747802734375,1053.1417236328125,1630.061279296875,1201.727783203125,-1.0
1,10,2792.43310546875,1182.0234375,3036.44384765625,1375.510498046875,-1.0
2,10,1413.9462890625,1153.985107421875,1624.0546875,1316.7275390625,-1.0
3,10,1461.406494140625,1060.24951171875,1632.2977294921875,1210.3472900390625,-1.0
1,11,2778.06298828125,1172.171142578125,3018.503173828125,1364.2073974609375,-1.0
2,11,1412.517578125,1162.190673828125,1626.051513671875,1327.3134765625,-1.0
3,11,1460.3865966796875,1065.14306640625,1633.06494140625,1220.135498046875,-1.0
1,12,2763.69873046875,1162.4056396484375,2999.958251953125,1352.7984619140625,-1.0
2,12,1409.3221435546875,1168.611083984375,1628.64892578125,1339.6385498046875,-1.0
3,12,1457.60986328125,1073.72216796875,1633.4791259765625,1224.8118896484375,-1.0
1,13,2748.73876953125,1155.0260009765625,2982.30810546875,1341.481201171875,124.61538461538461
3,13,1455.5029296875,1079.352294921875,1633.222900390625,1233.5673828125,152.30769230769232
